,ID Client 1,ID Client 2,Distance_Car,Duration_Car,Distance_Bike,Duration_Bike
0,78690893,78691334,3.7 km,6 mins,4.1 km,15 mins
1,78690893,78691389,7.7 km,12 mins,6.6 km,24 mins
2,78690893,78691461,14.4 km,16 mins,14.9 km,50 mins
3,78690893,78692265,5.0 km,7 mins,4.1 km,16 mins
4,78690893,78865175,18.9 km,19 mins,15.2 km,49 mins
5,78690893,78867322,1.2 km,4 mins,1.2 km,5 mins
6,78690893,78873790,2.2 km,7 mins,2.2 km,8 mins
7,78690893,78899980,1.4 km,5 mins,1.3 km,6 mins
8,78690893,79591205,3.1 km,8 mins,3.0 km,9 mins
9,78690893,79598982,19.8 km,23 mins,16.3 km,54 mins
10,78690893,79600570,4.8 km,7 mins,4.2 km,17 mins
11,78690893,82135699,1.5 km,5 mins,1.5 km,6 mins
12,78690893,87274454,15.9 km,16 mins,12.7 km,42 mins
13,78690893,87835064,10.9 km,11 mins,10.3 km,38 mins
14,78690893,87852633,15.0 km,19 mins,13.3 km,49 mins
15,78690893,88588548,4.9 km,8 mins,4.6 km,18 mins
16,78690893,88672872,11.2 km,14 mins,9.3 km,29 mins
17,78690893,97922195,2.6 km,5 mins,1.6 km,6 mins
18,78690893,98085031,2.2 km,7 mins,2.2 km,8 mins
19,78690893,167937489,5.3 km,8 mins,4.6 km,18 mins
20,78690893,188178602,3.3 km,8 mins,3.6 km,13 mins
21,78690893,192451998,4.5 km,7 mins,3.8 km,16 mins
22,78690893,197274024,0.4 km,1 min,0.4 km,2 mins
23,78690893,197278699,18.8 km,19 mins,21.1 km,1 hour 13 mins
24,78690893,205495806,5.1 km,8 mins,4.4 km,17 mins
25,78690893,213156949,4.2 km,7 mins,3.6 km,15 mins
26,78690893,243033408,4.5 km,7 mins,3.8 km,16 mins
27,78690893,297413132,23.0 km,21 mins,18.0 km,1 hour 0 mins
28,78690893,298597763,2.1 km,7 mins,2.1 km,7 mins
29,78690893,315244686,2.2 km,6 mins,2.2 km,6 mins
30,78690893,334442311,12.8 km,16 mins,12.6 km,46 mins
31,78690893,334811042,4.2 km,6 mins,4.7 km,17 mins
32,78690893,352744112,4.5 km,7 mins,4.7 km,18 mins
33,78690893,432156741,11.7 km,13 mins,11.1 km,41 mins
34,78690893,433149947,3.9 km,6 mins,4.4 km,16 mins
35,78690893,438309694,3.3 km,9 mins,3.3 km,10 mins
36,78690893,446362468,8.3 km,13 mins,7.0 km,27 mins
37,78690893,452687307,4.1 km,6 mins,2.9 km,11 mins
38,78690893,452919640,5.0 km,7 mins,4.5 km,19 mins
39,78690893,458296232,8.4 km,11 mins,7.4 km,25 mins
40,78690893,463037458,9.5 km,13 mins,7.6 km,23 mins
41,78690893,466678534,8.3 km,11 mins,7.3 km,25 mins
42,78690893,474721965,3.3 km,9 mins,3.2 km,10 mins
43,78690893,476321344,12.9 km,17 mins,11.8 km,43 mins
44,78690893,477580072,18.1 km,22 mins,17.7 km,59 mins
45,78690893,479391393,2.2 km,7 mins,2.2 km,8 mins
46,78690893,480337694,4.0 km,6 mins,3.8 km,16 mins
47,78690893,481413999,9.4 km,12 mins,9.5 km,31 mins
48,78690893,522099746,2.1 km,6 mins,2.1 km,6 mins
49,78690893,522610892,3.0 km,8 mins,3.0 km,9 mins
50,78690893,527231829,6.7 km,10 mins,5.6 km,19 mins
51,78690893,530138806,4.6 km,7 mins,4.3 km,17 mins
52,78690893,531956083,3.8 km,7 mins,4.2 km,17 mins
53,78690893,541258495,17.6 km,20 mins,17.5 km,1 hour 2 mins
54,78690893,552306887,2.3 km,6 mins,2.1 km,6 mins
55,78690893,559277088,1.2 km,4 mins,1.2 km,5 mins
56,78690893,559475456,1.2 km,4 mins,1.2 km,5 mins
57,78690893,560136410,2.3 km,6 mins,2.3 km,6 mins
58,78690893,560575760,20.1 km,22 mins,22.4 km,1 hour 17 mins
59,78690893,565078696,1.2 km,4 mins,1.2 km,5 mins
60,78690893,569769242,1.4 km,4 mins,1.4 km,4 mins
61,78690893,569981306,8.5 km,11 mins,7.4 km,25 mins
62,78690893,570590313,6.1 km,11 mins,4.4 km,18 mins
63,78690893,584983158,8.4 km,11 mins,8.1 km,29 mins
64,78690893,590049071,3.9 km,10 mins,4.0 km,16 mins
65,78690893,597798321,6.1 km,11 mins,4.4 km,18 mins
66,78690893,599471591,2.4 km,6 mins,2.4 km,7 mins
67,78690893,607763952,8.8 km,13 mins,7.5 km,26 mins
68,78690893,609495444,2.4 km,4 mins,1.5 km,5 mins
69,78690893,628015504,4.5 km,7 mins,3.8 km,16 mins
70,78690893,648827964,9.4 km,12 mins,7.5 km,22 mins
71,78690893,657893693,36.3 km,31 mins,37.1 km,2 hours 4 mins
72,78690893,658187452,4.0 km,7 mins,3.1 km,14 mins
73,78690893,658302934,6.2 km,9 mins,3.6 km,11 mins
74,78690893,662280369,18.8 km,19 mins,15.2 km,48 mins
75,78690893,691319767,4.5 km,7 mins,5.0 km,17 mins
76,78690893,712664807,2.7 km,7 mins,2.7 km,8 mins
77,78690893,714782168,3.2 km,8 mins,3.1 km,10 mins
78,78690893,727679560,14.2 km,16 mins,15.0 km,51 mins
79,78690893,728081901,18.3 km,23 mins,17.7 km,59 mins
80,78690893,740412946,7.2 km,11 mins,6.1 km,22 mins
81,78690893,741595162,4.3 km,7 mins,3.6 km,15 mins
82,78690893,751167409,4.1 km,7 mins,3.7 km,15 mins
83,78690893,751920795,2.3 km,6 mins,2.3 km,6 mins
84,78690893,755498685,4.2 km,6 mins,4.8 km,17 mins
85,78690893,756396600,2.6 km,8 mins,2.6 km,8 mins
86,78690893,762149315,18.2 km,23 mins,20.2 km,1 hour 7 mins
87,78690893,762304005,2.2 km,6 mins,2.2 km,6 mins
88,78690893,764206151,21.1 km,21 mins,19.4 km,1 hour 4 mins
89,78690893,772073740,20.5 km,21 mins,14.9 km,52 mins
90,78690893,793803218,4.6 km,7 mins,4.2 km,16 mins
91,78690893,794098228,17.2 km,21 mins,18.7 km,1 hour 2 mins
92,78690893,803656603,1.9 km,6 mins,1.9 km,7 mins
93,78690893,814940942,2.6 km,7 mins,2.4 km,8 mins
94,78690893,817127257,2.2 km,7 mins,2.2 km,8 mins
95,78690893,817947464,5.1 km,7 mins,3.1 km,9 mins
96,78690893,824480809,2.2 km,6 mins,2.2 km,6 mins
97,78690893,826666511,13.4 km,18 mins,11.7 km,42 mins
98,78690893,827142453,3.6 km,6 mins,4.1 km,15 mins
99,78690893,833548586,4.9 km,7 mins,4.1 km,16 mins
100,78690893,855391156,5.1 km,7 mins,3.2 km,10 mins
101,78690893,858147751,1.6 km,4 mins,1.6 km,5 mins
102,78690893,859852985,16.8 km,20 mins,18.3 km,1 hour 1 min
103,78690893,860937824,6.6 km,9 mins,5.5 km,19 mins
104,78690893,861502972,18.3 km,24 mins,19.3 km,1 hour 4 mins
105,78690893,863339627,2.7 km,7 mins,2.7 km,8 mins
106,78690893,863374497,4.5 km,7 mins,3.8 km,16 mins
107,78690893,864411156,18.3 km,24 mins,19.3 km,1 hour 4 mins
108,78690893,867813356,11.3 km,12 mins,10.7 km,39 mins
109,78690893,1452740690,1.6 km,5 mins,1.6 km,6 mins
110,78690893,1452763176,4.0 km,6 mins,4.5 km,16 mins
111,78690893,1452775101,6.4 km,8 mins,5.6 km,19 mins
112,78690893,1452858131,10.1 km,14 mins,8.7 km,30 mins
113,78690893,1453084257,13.3 km,15 mins,14.0 km,47 mins
114,78691334,78691389,10.0 km,15 mins,10.0 km,39 mins
115,78691334,78691461,11.8 km,15 mins,11.9 km,39 mins
116,78691334,78692265,5.3 km,8 mins,5.5 km,22 mins
117,78691334,78865175,21.2 km,22 mins,16.3 km,56 mins
118,78691334,78867322,5.3 km,9 mins,4.6 km,19 mins
119,78691334,78873790,7.0 km,11 mins,5.6 km,23 mins
120,78691334,78899980,5.0 km,8 mins,4.7 km,20 mins
121,78691334,79591205,5.8 km,11 mins,5.5 km,19 mins
122,78691334,79598982,19.6 km,25 mins,20.0 km,1 hour 16 mins
123,78691334,79600570,5.1 km,8 mins,5.4 km,21 mins
124,78691334,82135699,5.1 km,9 mins,4.9 km,20 mins
125,78691334,87274454,18.2 km,19 mins,13.5 km,45 mins
126,78691334,87835064,6.9 km,7 mins,6.2 km,23 mins
127,78691334,87852633,17.3 km,22 mins,17.4 km,1 hour 1 min
128,78691334,88588548,5.3 km,9 mins,5.8 km,23 mins
129,78691334,88672872,11.8 km,16 mins,10.7 km,40 mins
130,78691334,97922195,3.6 km,6 mins,3.6 km,12 mins
131,78691334,98085031,7.0 km,10 mins,5.4 km,21 mins
132,78691334,167937489,5.6 km,9 mins,7.1 km,25 mins
133,78691334,188178602,7.2 km,11 mins,7.0 km,27 mins
134,78691334,192451998,4.5 km,5 mins,3.2 km,14 mins
135,78691334,197274024,3.3 km,6 mins,4.1 km,17 mins
136,78691334,197278699,17.8 km,18 mins,19.1 km,1 hour 7 mins
137,78691334,205495806,5.4 km,8 mins,5.8 km,23 mins
138,78691334,213156949,5.2 km,7 mins,4.7 km,16 mins
139,78691334,243033408,4.5 km,5 mins,3.2 km,14 mins
140,78691334,297413132,25.3 km,24 mins,19.5 km,1 hour 5 mins
141,78691334,298597763,6.2 km,12 mins,5.3 km,21 mins
142,78691334,315244686,4.4 km,7 mins,4.4 km,14 mins
143,78691334,334442311,13.1 km,17 mins,10.3 km,38 mins
144,78691334,334811042,5.1 km,7 mins,4.5 km,16 mins
145,78691334,352744112,4.9 km,8 mins,6.1 km,21 mins
146,78691334,432156741,7.6 km,8 mins,6.9 km,26 mins
147,78691334,433149947,4.3 km,7 mins,4.9 km,17 mins
148,78691334,438309694,6.0 km,11 mins,5.8 km,19 mins
149,78691334,446362468,10.6 km,16 mins,10.4 km,41 mins
150,78691334,452687307,6.4 km,9 mins,5.9 km,23 mins
151,78691334,452919640,5.7 km,7 mins,4.4 km,17 mins
152,78691334,458296232,11.0 km,15 mins,10.0 km,36 mins
153,78691334,463037458,11.8 km,16 mins,10.3 km,37 mins
154,78691334,466678534,10.9 km,14 mins,9.9 km,35 mins
155,78691334,474721965,6.0 km,11 mins,5.7 km,19 mins
156,78691334,476321344,13.3 km,18 mins,11.7 km,43 mins
157,78691334,477580072,17.1 km,21 mins,14.7 km,48 mins
158,78691334,479391393,7.0 km,11 mins,5.6 km,23 mins
159,78691334,480337694,4.4 km,7 mins,4.8 km,16 mins
160,78691334,481413999,10.3 km,14 mins,9.4 km,32 mins
161,78691334,522099746,5.5 km,10 mins,4.9 km,19 mins
162,78691334,522610892,5.7 km,10 mins,5.5 km,19 mins
163,78691334,527231829,9.0 km,13 mins,9.0 km,34 mins
164,78691334,530138806,4.9 km,8 mins,5.5 km,22 mins
165,78691334,531956083,0.6 km,2 mins,0.3 km,3 mins
166,78691334,541258495,15.1 km,19 mins,14.5 km,51 mins
167,78691334,552306887,5.6 km,10 mins,4.9 km,19 mins
168,78691334,559277088,5.4 km,9 mins,4.6 km,19 mins
169,78691334,559475456,5.4 km,9 mins,4.6 km,19 mins
170,78691334,560136410,4.1 km,7 mins,4.1 km,13 mins
171,78691334,560575760,22.4 km,25 mins,23.9 km,1 hour 23 mins
