,ID Client 1,ID Client 2,Duration_Car,Duration_Bike
0,1,78691334,29,124.0
1,1,78691389,3,3.0
2,1,78691461,11,24.0
3,1,78692265,17,47.0
4,1,78865175,18,46.0
5,1,78867322,13,36.0
6,1,78873790,22,55.0
7,1,78899980,20,61.0
8,1,79591205,12,30.0
9,1,79598982,9,12.0
10,1,79600570,28,81.0
11,1,82135699,18,44.0
12,1,87274454,10,18.0
13,1,87835064,9,14.0
14,1,87852633,15,39.0
15,1,88588548,25,69.0
16,1,88672872,6,9.0
17,1,97922195,18,39.0
18,1,98085031,8,13.0
19,1,167937489,12,29.0
20,1,188178602,6,9.0
21,1,192451998,23,57.0
22,1,197274024,29,78.0
23,1,197278699,23,63.0
24,1,205495806,19,55.0
25,1,213156949,19,76.0
26,1,243033408,8,20.0
27,1,297413132,11,19.0
28,1,298597763,22,80.0
29,1,315244686,9,24.0
30,1,334442311,5,10.0
31,1,334811042,23,66.0
32,1,352744112,13,32.0
33,1,432156741,20,40.0
34,1,433149947,17,42.0
35,1,438309694,8,17.0
36,1,446362468,30,120.0
37,1,452687307,6,9.0
38,1,452919640,6,8.0
39,1,458296232,6,9.0
40,1,463037458,9,16.0
41,1,466678534,11,25.0
42,1,474721965,13,41.0
43,1,476321344,31,79.0
44,1,477580072,8,17.0
45,1,479391393,7,17.0
46,1,480337694,7,16.0
47,1,481413999,19,46.0
48,1,522099746,4,9.0
49,1,522610892,3,3.0
50,1,527231829,11,26.0
51,1,530138806,29,95.0
52,1,531956083,17,40.0
53,1,541258495,8,17.0
54,1,552306887,20,43.0
55,1,559277088,7,9.0
56,1,559475456,5,12.0
57,1,560136410,22,58.0
58,1,560575760,10,24.0
59,1,565078696,2,4.0
60,1,569769242,22,56.0
61,1,569981306,17,46.0
62,1,570590313,16,35.0
63,1,584983158,9,16.0
64,1,590049071,20,61.0
65,1,597798321,20,71.0
66,1,599471591,19,53.0
67,1,607763952,30,94.0
68,1,609495444,11,29.0
69,1,628015504,11,28.0
70,1,648827964,3,5.0
71,1,657893693,16,50.0
72,1,658187452,1,2.0
73,1,658302934,6,12.0
74,1,662280369,28,94.0
75,1,691319767,15,49.0
76,1,712664807,8,17.0
77,1,714782168,5,8.0
78,1,727679560,20,59.0
79,1,728081901,19,54.0
80,1,740412946,32,110.0
81,1,741595162,24,67.0
82,1,751167409,10,17.0
83,1,751920795,21,53.0
84,1,755498685,4,5.0
85,1,756396600,6,16.0
86,1,762149315,2,3.0
87,1,762304005,14,37.0
88,1,764206151,13,28.0
89,1,772073740,26,116.0
90,1,793803218,22,55.0
91,1,794098228,10,18.0
92,1,803656603,13,32.0
93,1,814940942,10,22.0
94,1,817127257,19,50.0
95,1,817947464,4,4.0
96,1,824480809,8,19.0
97,1,826666511,20,46.0
98,1,827142453,16,36.0
99,1,833548586,19,41.0
100,1,855391156,16,31.0
101,1,858147751,20,61.0
102,1,859852985,9,32.0
103,1,860937824,13,30.0
104,1,861502972,27,81.0
105,1,863339627,3,7.0
106,1,863374497,10,13.0
107,1,864411156,9,25.0
108,1,867813356,5,8.0
109,1,1452740690,22,70.0
110,1,1452763176,15,33.0
111,1,1452775101,32,82.0
112,1,1452858131,12,29.0
113,1,1453084257,24,64.0
115,1,2,22,68.0
116,1,3,8,15.0
117,1,4,5,11.0
118,1,5,15,34.0
119,1,6,22,63.0
120,1,7,34,103.0
121,1,8,20,60.0
122,1,9,20,78.0
123,1,10,27,85.0
124,1,11,17,45.0
125,1,12,9,12.0
126,1,13,20,56.0
127,1,14,5,9.0
128,1,15,32,96.0
129,1,16,5,10.0
130,1,17,19,50.0
131,1,18,7,8.0
132,1,19,5,9.0
133,1,20,21,55.0
134,1,21,12,39.0
135,1,22,9,19.0
136,1,23,6,8.0
137,1,24,7,11.0
138,1,25,11,20.0
139,1,26,8,16.0
140,1,27,5,7.0
141,1,28,13,23.0
142,1,29,27,70.0
143,1,30,11,27.0
144,1,31,7,9.0
145,1,32,6,10.0
146,1,33,20,47.0
147,1,34,6,9.0
148,1,35,13,28.0
149,1,36,21,43.0
150,1,37,11,44.0
151,1,38,17,46.0
152,1,39,16,49.0
153,1,40,5,16.0
154,1,41,18,50.0
155,1,42,27,86.0
156,1,43,12,29.0
157,1,44,37,101.0
158,1,45,16,39.0
159,1,46,16,40.0
160,1,47,18,47.0
161,1,48,10,16.0
162,1,49,22,58.0
163,1,50,13,28.0
164,1,51,11,29.0
165,1,52,6,17.0
166,1,53,9,15.0
167,1,54,11,20.0
168,1,55,11,22.0
169,1,56,21,61.0
170,1,57,10,25.0
171,1,58,6,6.0
172,1,59,9,11.0
173,1,60,18,66.0
174,1,61,8,18.0
175,1,62,11,23.0
176,1,63,21,42.0
177,1,64,17,45.0
178,1,65,38,107.0
179,1,66,42,162.0
180,1,67,17,50.0
181,1,68,6,11.0
182,1,69,8,19.0
183,1,70,20,49.0
184,1,71,18,47.0
185,1,72,2,2.0
186,1,73,21,45.0
187,1,74,15,35.0
188,1,75,7,12.0
189,1,76,5,9.0
190,1,77,25,81.0
191,1,78,9,20.0
192,1,79,3,3.0
193,1,80,21,57.0
194,1,81,9,17.0
195,1,82,19,64.0
196,1,83,9,14.0
197,1,84,3,5.0
198,1,85,19,48.0
199,1,86,17,46.0
200,1,87,25,69.0
201,1,88,13,35.0
202,1,89,21,57.0
203,1,90,21,72.0
204,1,91,3,4.0
205,1,92,13,30.0
206,1,93,10,17.0
207,1,94,8,17.0
208,1,95,20,60.0
209,1,96,10,16.0
210,1,97,5,8.0
211,1,98,16,44.0
212,1,99,7,11.0
213,1,100,11,17.0
214,1,101,4,8.0
215,1,102,11,27.0
216,1,103,24,66.0
217,1,104,19,58.0
218,1,105,8,21.0
219,1,106,16,42.0
220,1,107,10,18.0
221,1,108,8,18.0
222,1,109,10,15.0
223,1,110,31,101.0
224,1,111,14,35.0
225,1,112,26,62.0
226,1,113,5,10.0
227,1,114,10,22.0
228,1,115,23,59.0
229,2,78691334,12,26.0
230,2,78691389,17,57.0
231,2,78691461,22,56.0
232,2,78692265,2,4.0
233,2,78865175,15,32.0
234,2,78867322,17,71.0
235,2,78873790,6,9.0
236,2,78899980,26,87.0
237,2,79591205,13,24.0
238,2,79598982,7,9.0
239,2,79600570,13,29.0
240,2,82135699,9,17.0
241,2,87274454,17,40.0
242,2,87835064,11,17.0
243,2,87852633,9,25.0
244,2,88588548,29,85.0
245,2,88672872,18,47.0
246,2,97922195,19,52.0
247,2,98085031,19,53.0
248,2,167937489,8,21.0
249,2,188178602,16,44.0
250,2,192451998,11,30.0
251,2,197274024,16,50.0
252,2,197278699,12,38.0
253,2,205495806,4,11.0
254,2,213156949,13,34.0
255,2,243033408,15,30.0
256,2,297413132,5,14.0
257,2,298597763,7,17.0
258,2,315244686,5,9.0
259,2,334442311,18,50.0
260,2,334811042,21,53.0
261,2,352744112,12,30.0
262,2,432156741,24,64.0
263,2,433149947,9,15.0
264,2,438309694,7,18.0
265,2,446362468,9,20.0
266,2,452687307,2,3.158770555772068
267,2,452919640,10,16.0
268,2,458296232,19,63.0
269,2,463037458,17,49.0
270,2,466678534,12,31.0
271,2,474721965,30,99.0
272,2,476321344,9,18.0
273,2,477580072,21,53.0
274,2,479391393,8,22.0
275,2,480337694,11,24.0
276,2,481413999,20,56.0
277,2,522099746,8,18.0
278,2,522610892,19,49.0
279,2,527231829,11,34.0
280,2,530138806,7,14.0
281,2,531956083,18,47.0
282,2,541258495,7,14.0
283,2,552306887,11,17.0
284,2,559277088,17,49.0
285,2,559475456,11,15.0
286,2,560136410,5,8.0
287,2,560575760,11,26.0
288,2,565078696,16,39.0
289,2,569769242,22,64.0
290,2,569981306,6,9.0
291,2,570590313,6,7.0
292,2,584983158,12,33.0
293,2,590049071,3,4.158770555772068
294,2,597798321,5,6.0
295,2,599471591,7,10.0
296,2,607763952,12,44.0
297,2,609495444,6,7.0
298,2,628015504,25,86.0
299,2,648827964,9,17.0
300,2,657893693,3,3.0
301,2,658187452,6,7.158770555772068
302,2,658302934,19,49.0
303,2,662280369,24,66.0
304,2,691319767,14,40.0
305,2,712664807,1,1.0
306,2,714782168,5,7.0
307,2,727679560,16,44.0
308,2,728081901,24,60.0
309,2,740412946,18,75.0
310,2,741595162,3,4.0
311,2,751167409,8,13.0
312,2,751920795,10,20.0
313,2,755498685,26,71.0
314,2,756396600,5,9.0
315,2,762149315,13,38.0
316,2,762304005,6,11.0
317,2,764206151,8,12.0
318,2,772073740,10,23.0
319,2,793803218,11,21.0
320,2,794098228,14,40.0
321,2,803656603,5,8.0
322,2,814940942,34,134.0
323,2,817127257,23,61.0
324,2,817947464,13,27.0
325,2,824480809,21,48.0
326,2,826666511,15,41.0
327,2,827142453,14,30.0
328,2,833548586,9,18.0
329,2,855391156,8,12.0
330,2,858147751,29,75.0
331,2,859852985,6,10.0
332,2,860937824,7,13.0
333,2,861502972,17,50.0
334,2,863339627,8,13.0
335,2,863374497,10,30.0
336,2,864411156,6,11.0
337,2,867813356,21,59.0
338,2,1452740690,8,10.0
339,2,1452763176,14,36.0
340,2,1452775101,8,21.0
341,2,1452858131,6,9.0
342,2,1453084257,18,49.0
343,2,1,8,9.0
345,2,3,9,13.0
346,2,4,15,33.0
347,2,5,10,24.0
348,2,6,10,23.0
349,2,7,2,3.0
350,2,8,17,38.0
351,2,9,3,4.0
352,2,10,8,10.0
353,2,11,30,73.0
354,2,12,8,13.0
355,2,13,7,12.0
356,2,14,8,10.0
357,2,15,6,8.0
358,2,16,10,18.0
359,2,17,7,18.0
360,2,18,8,19.0
361,2,19,9,15.0
362,2,20,3,6.0
363,2,21,12,26.0
364,2,22,17,51.0
365,2,23,14,29.0
366,2,24,22,81.0
367,2,25,16,45.0
368,2,26,6,15.0
369,2,27,18,50.0
370,2,28,5,10.0
371,2,29,21,65.0
372,2,30,22,57.0
373,2,31,13,27.0
374,2,32,10,17.0
375,2,33,10,19.0
376,2,34,6,11.0
377,2,35,2,4.0
378,2,36,9,19.0
379,2,37,25,64.0
380,2,38,12,34.0
381,2,39,14,33.0
382,2,40,18,45.0
383,2,41,1,1.0
384,2,42,22,62.0
385,2,43,19,55.0
386,2,44,21,44.0
387,2,45,8,9.0
388,2,46,8,14.0
389,2,47,15,48.0
390,2,48,10,13.0
391,2,49,13,40.0
392,2,50,9,15.0
393,2,51,19,45.0
394,2,52,19,50.0
395,2,53,5,12.0
396,2,54,6,13.0
397,2,55,14,40.0
398,2,56,20,70.0
399,2,57,21,51.0
400,2,58,7,19.0
401,2,59,7,8.158770555772069
402,2,60,10,17.0
403,2,61,10,24.0
404,2,62,13,29.0
405,2,63,10,17.0
406,2,64,8,16.0
407,2,65,9,11.0
408,2,66,5,8.0
409,2,67,7,17.0
410,2,68,5,9.0
411,2,69,6,15.0
412,2,70,9,22.0
413,2,71,3,3.0
414,2,72,16,38.0
415,2,73,15,46.0
416,2,74,10,18.0
417,2,75,12,28.0
418,2,76,4,5.0
419,2,77,24,59.0
420,2,78,5,7.0
421,2,79,2,3.0
422,2,80,28,101.0
423,2,81,13,34.0
424,2,82,22,61.0
425,2,83,8,12.0
426,2,84,5,10.0
427,2,85,8,14.0
428,2,86,10,22.0
429,2,87,11,24.0
430,2,88,23,60.0
431,2,89,7,22.0
432,2,90,17,45.0
433,2,91,20,73.0
434,2,92,7,11.0
435,2,93,6,6.0
436,2,94,7,14.0
437,2,95,5,11.0
438,2,96,14,42.0
439,2,97,1,3.0
440,2,98,10,16.0
441,2,99,11,28.0
442,2,100,8,13.0
443,2,101,8,19.0
444,2,102,15,48.0
445,2,103,24,63.0
446,2,104,32,96.0
447,2,105,36,99.0
448,2,106,17,48.0
449,2,107,10,22.0
450,2,108,8,19.0
451,2,109,10,16.0
452,2,110,17,47.0
453,2,111,10,20.0
454,2,112,6,19.0
455,2,113,13,35.0
456,2,114,21,62.0
457,2,115,15,45.0
458,3,78691334,17,45.0
459,3,78691389,12,38.0
460,3,78691461,19,60.0
461,3,78692265,6,8.0
462,3,78865175,15,58.0
463,3,78867322,9,13.0
464,3,78873790,21,70.0
465,3,78899980,5,6.0
466,3,79591205,18,53.0
467,3,79598982,9,18.0
468,3,79600570,5,8.0
469,3,82135699,21,65.0
470,3,87274454,8,13.0
471,3,87835064,22,50.0
472,3,87852633,8,20.0
473,3,88588548,5,8.0
474,3,88672872,17,44.0
475,3,97922195,11,23.0
476,3,98085031,10,17.0
477,3,167937489,8,27.0
478,3,188178602,15,36.0
479,3,192451998,10,22.0
480,3,197274024,19,45.0
481,3,197278699,8,13.0
482,3,205495806,3,7.0
